transaction_id,client_name,IBAN,contact_email,amount,category,status
TX-10979,Marlin Foods Ltd,IT68 1448 1853 923755618874,accounts@marlin83.com,1344.00,Professional Services,refunded
TX-11588,Cinder Energy GmbH,NL44 9314 4524 629851082595,accounts@cinder74.com,864.00,Marketing,settled
TX-10609,Ancora Works SA,NL62 5223 4096 104390543744,accounts@ancora42.com,407.00,Subscriptions,settled
TX-10096,Rioja Hospitality Ltd,FR35 7302 8916 236313758032,accounts@rioja77.com,582.00,Subscriptions,settled
TX-10537,Rioja Hospitality SAS,FR94 9260 3205 739608564548,accounts@rioja20.com,1021.00,Subscriptions,settled
TX-11803,Cinder Energy SL,NL68 5305 9943 669263025879,accounts@cinder54.com,120.00,Training,settled
TX-11855,Solace Industrial SL,ES18 5523 5128 137402979400,accounts@solace90.com,304.00,Training,settled
TX-10563,Mistral Group BV,DE36 4492 7950 239899689747,accounts@mistral16.com,354.00,Subscriptions,settled
TX-11557,Lumen Systems SL,DE26 4726 3858 283817404707,accounts@lumen29.com,680.00,Logistics,settled
TX-10677,Mistral Group BV,DE14 7251 2285 176731159892,accounts@mistral76.com,1916.00,Professional Services,settled
TX-11603,Mistral Group SL,DE47 8037 2524 389447712449,accounts@mistral96.com,515.00,Marketing,settled
TX-10019,Novara Logistics SL,FR69 1822 5082 252960488639,accounts@novara35.com,120.00,Subscriptions,settled
TX-10451,Bastion Studio SA,IT56 1062 8005 217872873371,accounts@bastion13.com,1145.00,Subscriptions,settled
TX-10634,Novara Logistics GmbH,FR88 5254 4066 802128928014,accounts@novara92.com,1644.00,Subscriptions,refunded
TX-10178,Kestrel Clinics Ltd,DE83 4963 3352 472843567009,accounts@kestrel34.com,1075.00,Subscriptions,settled
TX-11366,Ancora Works Ltd,NL69 9767 8616 231368605032,accounts@ancora22.com,274.00,Logistics,settled
TX-11320,Rioja Hospitality SAS,FR13 4713 7998 595927944597,accounts@rioja57.com,236.00,Logistics,settled
TX-11733,Halcyon Consulting SAS,ES29 3106 3400 876945208293,accounts@halcyon75.com,262.00,Marketing,settled
TX-10364,Marlin Foods Ltd,IT61 9447 5558 986880115912,accounts@marlin23.com,815.00,Subscriptions,settled
TX-10480,Cobalt Trading GmbH,NL86 1138 4666 429345142789,accounts@cobalt44.com,739.00,Subscriptions,settled
TX-11757,Lumen Systems GmbH,DE97 5916 4445 833885733726,accounts@lumen26.com,323.00,Marketing,settled
TX-11896,Kestrel Clinics SAS,DE26 9490 1584 703056515342,accounts@kestrel51.com,-501.00,Training,settled
TX-11372,Mistral Group SL,DE18 5487 7636 208353871802,accounts@mistral36.com,615.00,Logistics,settled
